Date,Cases
23/03/14,1
30/03/14,0
06/04/14,2
13/04/14,0
20/04/14,0
27/04/14,0
04/05/14,1
11/05/14,4
18/05/14,0
25/05/14,0
01/06/14,0
08/06/14,3
15/06/14,15
22/06/14,26
29/06/14,25
06/07/14,20
13/07/14,27
20/07/14,23
27/07/14,66
03/08/14,59
10/08/14,79
17/08/14,140
24/08/14,265
31/08/14,255
07/09/14,248
14/09/14,321
21/09/14,593
28/09/14,635
05/10/14,507
12/10/14,506
19/10/14,527
26/10/14,336
02/11/14,238
09/11/14,232
16/11/14,177
23/11/14,130
30/11/14,125
07/12/14,125
14/12/14,73
21/12/14,42
28/12/14,50
04/01/15,50
11/01/15,30
18/01/15,23
25/01/15,14
01/02/15,11
08/02/15,7
15/02/15,6
22/02/15,12
01/03/15,2
08/03/15,2
15/03/15,0
22/03/15,1
29/03/15,0
05/04/15,0
12/04/15,0
19/04/15,0
26/04/15,0
03/05/15,0
10/05/15,0
17/05/15,0
24/05/15,0
31/05/15,0
07/06/15,0
14/06/15,0
21/06/15,0
28/06/15,0
05/07/15,4
12/07/15,4
19/07/15,1
26/07/15,0
02/08/15,0
09/08/15,0
16/08/15,0
23/08/15,0
30/08/15,0
06/09/15,0
13/09/15,0
20/09/15,0
27/09/15,0
04/10/15,0
11/10/15,0
18/10/15,0
25/10/15,0
01/11/15,0
08/11/15,0
15/11/15,0
22/11/15,3
29/11/15,0
06/12/15,0
13/12/15,0
20/12/15,0
27/12/15,0
03/01/16,0
10/01/16,0
17/01/16,0
24/01/16,0
31/01/16,0
07/02/16,0
14/02/16,0
21/02/16,0
28/02/16,0
06/03/16,0
13/03/16,0
20/03/16,0
27/03/16,0
03/04/16,2
10/04/16,1
17/04/16,0
24/04/16,0
01/05/16,0
08/05/16,0
